Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
VPN by Price,https://www.crunchbase.com/organization/vpn-by-price,,Private,For Profit,1-10,,,,,2024-09-15,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,https://www.crunchbase.com/organization/twitter-d6c0,,Private,For Profit,,,,,,2024-09-14,day,Closed,,,1,,,,,,,,,,,,,,,,,,,"Apps, Software",,,,,,"Apps, Software",,
BoringLead,https://www.crunchbase.com/organization/boringlead,,Private,For Profit,,,,,,2024-09-14,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SkySuite,https://www.crunchbase.com/organization/skysuite,,Private,For Profit,1-10,,,,,2024-09-13,day,Active,,,1,,,,,,,,,,,,,,,,,,"Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), PropTech, Real Estate, Software","New York, New York, United States",
Mutual Fund Journal,https://www.crunchbase.com/organization/mutual-fund-journal,,Private,For Profit,1-10,,,,,2024-09-13,day,Active,,,1,,,,,,,,,,,,,,,,,,Asia-Pacific (APAC),"Financial Services, Media and Entertainment",,,,,,"Digital Media, Finance","Guwahati, Assam, India",
Menalated Labs,https://www.crunchbase.com/organization/menalated-labs,,Private,For Profit,1-10,,Seed,2024-09-13,,2024-09-12,day,Active,,,1,1,Seed,,,,,,,Seed,,,,,,,Holekamp Seed Fund,1,"Greater Chicago Area, Great Lakes, Midwestern US","Consumer Goods, Health Care",,,,,,"Beauty, Cosmetics, Health Care","Chicago, Illinois, United States",
ShyLink,https://www.crunchbase.com/organization/shylink,,Private,For Profit,1-10,,,,,2024-09-12,day,Active,,,1,,,,,,,,,,,,,,,,,,,Software,,,,,,"SaaS, Software",,
Taxi Holdings Limited,https://www.crunchbase.com/organization/taxi-holdings-limited,,Private,For Profit,11-50,,,,,2024-09-12,day,Active,,,1,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Information Technology, Software, Transportation",,,,,,"Information Technology, Ride Sharing, SaaS, Taxi Service","London, England, United Kingdom",
Sipify,https://www.crunchbase.com/organization/sipify,,Private,For Profit,1-10,,,,,2024-09-12,day,Active,,,1,,,,,,,,,,,,,,,,,,"San Francisco Bay Area, West Coast, Western US",Information Technology,,,,,,Information Technology,"San Francisco, California, United States",
Mailability.io,https://www.crunchbase.com/organization/mailability-e683,,Private,For Profit,1-10,,Pre-Seed,2024-09-01,,2024-09-11,day,Active,,,,1,Seed,,,,,,,Pre-Seed,,,,,,,,,,,,,,,,,,
IDX Brasil,https://www.crunchbase.com/organization/idx-brasil,,Private,For Profit,11-50,,,,,2024-09-11,day,Active,,,1,,,,,,,,,,,,,,,,,,Latin America,"Information Technology, Real Estate, Software",,,,,,"Information Technology, Real Estate, Software","João Pessoa, Bahia, Brazil",
TerraNova,https://www.crunchbase.com/organization/terranova-e426,,Private,For Profit,1-10,,,,,2024-09-11,day,Active,,,,,,,,,,,,,,,,,,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Manufacturing, Sustainability",,,,,,"Carbon Capture, Manufacturing, Sustainability","Dki Jakarta, Jakarta Raya, Indonesia",
Garage AI,https://www.crunchbase.com/organization/garage-ai,,Private,For Profit,1-10,,Pre-Seed,2024-09-10,,2024-09-10,day,Active,,,,1,Seed,150000,USD,150000,150000,USD,150000,Pre-Seed,150000,USD,150000,150000,USD,150000,,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Apps, Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Gaming, Internet Services, Mobile, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Blockchain, Mobile Apps, Video Games, Web3","Istanbul, Istanbul, Turkey",
Social Lite,https://www.crunchbase.com/organization/social-lite,,Private,For Profit,11-50,,,,,2024-09-10,day,Active,,,2,,,,,,,,,,,,,,,,,,Asia-Pacific (APAC),"Advertising, Information Technology, Sales and Marketing, Travel and Tourism",,,,,,"Advertising, Hospitality, Information Technology","Jaipur, Rajasthan, India",
Buy GitHub Accounts,https://www.crunchbase.com/organization/buy-github-accounts,,Private,Non-profit,1-10,,,,,2024-09-10,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vidzy AI,https://www.crunchbase.com/organization/vidzy-ai,,Private,,1-10,,,,,2024-09-10,day,Active,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), SaaS, Software",,
Primecaller,https://www.crunchbase.com/organization/primecaller,,Private,For Profit,1-10,,,,,2024-09-10,day,Active,,,1,,,,,,,,,,,,,,,,,,Asia-Pacific (APAC),"Apps, Information Technology, Mobile, Software",,,,,,"Apps, Contact Management, Mobile Apps, Spam Filtering","Gurgaon, Haryana, India",
Domainlyst,https://www.crunchbase.com/organization/domainlyst,,Private,For Profit,1-10,,,,,2024-09-10,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Information Technology, Software",,,,,,"Information Technology, Software",,
bizail,https://www.crunchbase.com/organization/bizail,,Private,For Profit,1-10,,,,,2024-09-10,day,Active,,,1,,,,,,,,,,,,,,,,,,"Greater New York Area, East Coast, Northeastern US","Commerce and Shopping, Software",,,,,,"Marketplace, Software","New York, New York, United States",
Deepdock,https://www.crunchbase.com/organization/deepdock,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,1,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",,,,,,"Artificial Intelligence (AI), Autonomous Vehicles, Information Technology, Marine Technology, Marine Transportation","Hamburg, Hamburg, Germany",
TopCars,https://www.crunchbase.com/organization/topcars,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,1,,,,,,,,,,,,,,,,,,Southern US,Internet Services,,,,,,Social Network,"Austin, Texas, United States",
VetClaims.AI,https://www.crunchbase.com/organization/vetclaims-ai,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,1,,,,,,,,,,,,,,,,,,Southern US,"Other, Software",,,,,,"B2C, Software","Austin, Texas, United States",
Adatani Nusantara,https://www.crunchbase.com/organization/adatani-nusantara,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,1,,,,,,,,,,,,,,,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Agriculture and Farming,,,,,,"Agriculture, Horticulture","Tasikmalaya, Jawa Barat, Indonesia",
Ozoseo,https://www.crunchbase.com/organization/ozoseo,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,1,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Internet Services, Sales and Marketing",,,,,,"Digital Marketing, Marketing, SEO","Nkpor, Anambra, Nigeria",
Vegte Media Group,https://www.crunchbase.com/organization/vegte-media-group,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",,,,,,"Digital Media, Journalism, News",,
Éloi Gummies,https://www.crunchbase.com/organization/éloi-gummies,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Health Care",,,,,,"Beauty, E-Commerce, Health Care",,
DEFEND Data,https://www.crunchbase.com/organization/defend-data,,Private,For Profit,1-10,,,,,2024-09-09,day,Active,,,,,,,,,,,,,,,,,,,,,Southern US,,,,,,,,"Austin, Texas, United States",
Nebuleads,https://www.crunchbase.com/organization/nebuleads,,Private,For Profit,1-10,,,,,2024-09-08,day,Active,,,,,,,,,,,,,,,,,,,,,,"Design, Sales and Marketing",,,,,,"Digital Marketing, Lead Generation, Lead Management, Web Design",,
AI Headshot Generator,https://www.crunchbase.com/organization/ai-headshot-generator-a1b6,,Private,For Profit,1-10,,,,,2024-09-08,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log My Work,https://www.crunchbase.com/organization/log-my-work,,Private,For Profit,1-10,,,,,2024-09-07,day,Active,,,,,,,,,,,,,,,,,,,,,,Software,,,,,,Software,,
Digital Human Talent Agency,https://www.crunchbase.com/organization/digital-human-talent-agency,,Private,For Profit,1-10,,,,,2024-09-06,day,Active,,,3,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Design, Media and Entertainment, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Human Computer Interaction, Media and Entertainment","Torino, Piemonte, Italy",
Brixs AI,https://www.crunchbase.com/organization/brixs-ai,,Private,For Profit,1-10,,,,,2024-09-06,day,Active,,,1,,,,,,,,,,,,,,,,,,Southern US,Software,,,,,,Software,"Austin, Texas, United States",
Odola,https://www.crunchbase.com/organization/odola,,Private,For Profit,1-10,,,,,2024-09-06,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/'gīdens/,https://www.crunchbase.com/organization/gidens,,Private,For Profit,1-10,,,,,2024-09-05,day,Active,,,2,,,,,,,,,,,,,,,,,,"Asia-Pacific (APAC), Western US",,,,,,,,"Honolulu, Hawaii, United States",
OrkEats,https://www.crunchbase.com/organization/orkeats,,Private,For Profit,51-100,,,,,2024-09-05,day,Active,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izsit,https://www.crunchbase.com/organization/izsit,,Private,For Profit,1-10,,,,,2024-09-04,day,Active,,,1,,,,,,,,,,,,,,,,,,"San Francisco Bay Area, West Coast, Western US","Content and Publishing, Media and Entertainment, Video",,,,,,Video Streaming,"San Francisco, California, United States",
Every AI,https://www.crunchbase.com/organization/every-ai,,Private,For Profit,1-10,,,,,2024-09-04,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), SaaS, Software",,
Make Better Teams,https://www.crunchbase.com/organization/make-better-teams,,Private,For Profit,1-10,,,,,2024-09-04,day,Active,,,,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Professional Services,,,,,,Consulting,"Lisboa, Lisboa, Portugal",
SaleNearBy,https://www.crunchbase.com/organization/salenearby,,Private,For Profit,1-10,,,,,2024-09-04,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Hardware, Software",,,,,,"Coupons, Local Shopping, Retail, Retail Technology, Shopping Mall",,
Horiar Media & Technology,https://www.crunchbase.com/organization/horiar-media-technology,,Private,For Profit,11-50,,Pre-Seed,2024-09-13,,2024-09-03,day,Active,,,1,1,Seed,100000,USD,100000,100000,USD,100000,Pre-Seed,100000,USD,100000,100000,USD,100000,,,"Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)","Apps, Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software, Video",,,,,,"Apps, Artificial Intelligence (AI), Film Production, Generative AI, Machine Learning, Media and Entertainment, Software","Kadikoy, Istanbul, Turkey",
Majesty Experiences,https://www.crunchbase.com/organization/majestyexperiences,,Private,For Profit,1-10,,,,,2024-09-03,day,Active,,,,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Software, Travel and Tourism",,,,,,"Hospitality, Software","Dubai, Dubai, United Arab Emirates",
Snapdragon Inc.,https://www.crunchbase.com/organization/snapdragon-inc,,Private,,5001-10000,,,,,2024-09-03,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Real Estate",,,,,,"Banking, Hedge Funds, Property Management, Rental Property",,
Orctane,https://www.crunchbase.com/organization/orctane,,Private,For Profit,1-10,,,,,2024-09-03,day,Active,,,1,,,,,,,,,,,,,,,,,,Southern US,Software,,,,,,Software,"Austin, Texas, United States",
My Home Guide,https://www.crunchbase.com/organization/my-home-guide,,Private,For Profit,1-10,,,,,2024-09-03,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScraperSage,https://www.crunchbase.com/organization/scrapersage,,Private,For Profit,1-10,,,,,2024-09-03,day,Active,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,,,,Artificial Intelligence (AI),,
ChatRep,https://www.crunchbase.com/organization/chatrep,,Private,For Profit,1-10,,,,,2024-09-03,day,Active,,,1,,,,,,,,,,,,,,,,,,"Research Triangle, East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Customer Service, SaaS, Software","Raleigh, North Carolina, United States",
Behavix Inc.,https://www.crunchbase.com/organization/behavix-inc,,Private,For Profit,11-50,,,,,2024-09-02,day,Active,,,2,,,,,,,,,,,,,,,,,,"European Union (EU), Nordic Countries, Scandinavia","Artificial Intelligence (AI), Data and Analytics, Design",,,,,,"Analytics, Data Management, Generative AI, Market Research","Helsinki, Southern Finland, Finland",
Yalusongamo,https://www.crunchbase.com/organization/yalusongamo,,Private,For Profit,1-10,,,,,2024-09-02,day,Active,,,1,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Financial Services, Information Technology, Internet Services, Lending and Investments, Media and Entertainment, Sustainability",,,,,,"Banking, GreenTech, Information Technology, Marketplace, Social Media","London, England, United Kingdom",
Henesi Teknologi Indonesia,https://www.crunchbase.com/organization/henesi-teknologi-indonesia,,Private,For Profit,1-10,,,,,2024-09-02,day,Active,,,1,,,,,,,,,,,,,,,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Big Data, Internet of Things, Professional Services, SaaS, Software","Jakarta, Jakarta Raya, Indonesia",
DeepMode,https://www.crunchbase.com/organization/deepmode,,Private,For Profit,1-10,,,,,2024-09-02,day,Active,,,1,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East","Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing",,,,,,"Advertising, Marketing, Photography","Limassol, Limassol, Cyprus",
Marie,https://www.crunchbase.com/organization/marie-9644,,Private,For Profit,1-10,,,,,2024-09-02,day,Active,,,2,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)",Real Estate,,,,,,Real Estate,"Zürich, Zurich, Switzerland",
Siddhify,https://www.crunchbase.com/organization/siddhify,,Private,For Profit,1-10,,,,,2024-09-02,day,Active,,,1,,,,,,,,,,,,,,,,,,,Software,,,,,,Software,"Grand Cayman, Midland, Cayman Islands",
The Next AI Tool,https://www.crunchbase.com/organization/the-next-ai-tool,,Private,Non-profit,,,,,,2024-09-02,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icon,https://www.crunchbase.com/organization/icon-ai,,Private,For Profit,11-50,,Venture - Series Unknown,2024-09-04,,2024-09-01,month,Active,,,1,1,,,,,,,,Venture - Series Unknown,,,,,,,"Founders Fund, Kevin Hartz, Karim Atiyeh, Eric Wei, Max Altman",10,"Greater New York Area, East Coast, Northeastern US","Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",,,,,,"Advertising, Artificial Intelligence (AI), Content Creators, Internet, Marketing, Software","New York, New York, United States",
Hetr,https://www.crunchbase.com/organization/hetr,,Private,For Profit,1-10,,Private Equity,2024-09-03,,2024-09-01,day,Active,,,1,1,Private Equity,,,,,,,Private Equity,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Consumer Electronics, Financial Services, Hardware, Information Technology, Lending and Investments, Software",,,,,,"Computer, Embedded Software, Information Technology, Software, Venture Capital","London, England, United Kingdom",
12Port Inc,https://www.crunchbase.com/organization/12port-inc,,Private,For Profit,11-50,,Pre-Seed,2024-09-04,,2024-09-01,month,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"Greater Philadelphia Area, Great Lakes, Northeastern US","Information Technology, Privacy and Security, Software",,,,,,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security","Exton, Pennsylvania, United States",
FamFund,https://www.crunchbase.com/organization/famfund,,Private,For Profit,1-10,,Pre-Seed,2024-10-01,,2024-09-01,day,Active,,,2,1,Seed,,,,,,,Pre-Seed,,,,,,,,,"Greater Seattle Area, West Coast, Western US","Financial Services, Lending and Investments",,,,,,"Banking, Financial Services, FinTech","Seattle, Washington, United States",
Noun,https://www.crunchbase.com/organization/noun,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,1,,,,,,,,,,,,,,,,,,"Greater Los Angeles Area, West Coast, Western US",Software,,,,,,Software,"Santa Monica, California, United States",
Sourcio,https://www.crunchbase.com/organization/sourcio,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,"European Union (EU), Nordic Countries, Scandinavia",,,,,,,,"Joensuu, Eastern Finland, Finland",
Konstellate,https://www.crunchbase.com/organization/konstellate,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Health Care, Software",,,,,,"Enterprise Software, Health Care, Pharmaceutical, SaaS, Software",,
FleX Sales Inc,https://www.crunchbase.com/organization/flex-sales-inc,,Private,For Profit,11-50,,,,,2024-09-01,month,Active,,,,,,,,,,,,,,,,,,,,,"Greater Miami Area, East Coast, Southern US","Other, Professional Services, Sales and Marketing",,,,,,"Consulting, Customer Service, Direct Marketing, Direct Sales","West Palm Beach, Florida, United States",
Rzoken,https://www.crunchbase.com/organization/rzoken,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Information Technology, Lending and Investments, Other, Real Estate",,,,,,"Banking, Blockchain, Commercial Real Estate, Information Technology, Real Estate, Real Estate Brokerage, Real Estate Investment, Service Industry",,
VIVIO,https://www.crunchbase.com/organization/vivio-d071,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Apps, Content and Publishing, Media and Entertainment, Mobile, Sales and Marketing, Software",,,,,,"Content Creators, Creative Agency, Digital Marketing, Mobile Apps, Social Media Marketing, Software","Madrid, Madrid, Spain",
TheWebCo,https://www.crunchbase.com/organization/thewebco,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,2,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Sales and Marketing, Science and Engineering, Software",,,,,,"Analytics, Artificial Intelligence (AI), Big Data, Cyber Security, Marketing, SaaS",,
Unseen Hosting,https://www.crunchbase.com/organization/unseen-hosting,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,Midwestern US,"Information Technology, Internet Services",,,,,,"Domain Registrar, Information Technology, Internet, Web Hosting","Drakesville, Iowa, United States",
Livework.co,https://www.crunchbase.com/organization/livework-co,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,"Greater Los Angeles Area, West Coast, Western US","Community and Lifestyle, Content and Publishing, Events, Media and Entertainment, Software, Video",,,,,,"Communities, Event Management, SaaS, Video Streaming","Los Angeles, California, United States",
Prossistant,https://www.crunchbase.com/organization/prossistant,,Private,For Profit,11-50,,,,,2024-09-01,month,Active,,,,,,,,,,,,,,,,,,,,,"Great Lakes, Midwestern US",Software,,,,,,Virtual Assistant,"Madison, Wisconsin, United States",
Avenir Consulting Solutions,https://www.crunchbase.com/organization/avenir-consulting-solutions,,Private,For Profit,11-50,,,,,2024-09-01,month,Active,,,,,,,,,,,,,,,,,,,,,"East Coast, Southern US","Commerce and Shopping, Professional Services, Sales and Marketing",,,,,,"Consulting, Direct Marketing, Local Business, Retail, Sales","Virginia Beach, Virginia, United States",
Floresco AI,https://www.crunchbase.com/organization/floresco-ai,,Private,For Profit,11-50,,,,,2024-09-01,day,Active,,,,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Big Data, Consulting","London, England, United Kingdom",
BigFoot by Sasquatch Technologies,https://www.crunchbase.com/organization/bigfoot-by-sasquatch-technologies,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,3,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Education, Software, Sustainability",,,,,,"Education, Software, Sustainability","Arnex, Vaud, Switzerland",
Qontent,https://www.crunchbase.com/organization/qontent,,Private,For Profit,11-50,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Internet Services, Sales and Marketing",,,,,,"Content Marketing, SEO","Paris, Ile-de-France, France",
Regga Logistics,https://www.crunchbase.com/organization/regga-logistics,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post Job Free,https://www.crunchbase.com/organization/post-job-free,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontanaAI,https://www.crunchbase.com/organization/montanaai,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,,,,,,,,,,,,,,,,,,,Western US,"Information Technology, Software, Travel and Tourism",,,,,,"Information Technology, Software, Travel, Travel Agency","Bozeman, Montana, United States",
Critico AI,https://www.crunchbase.com/organization/critico-ai,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,,"Prague, Hlavni mesto Praha, Czech Republic",
NETNOUNCE,https://www.crunchbase.com/organization/netnounce,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,,,,,,,,,,,,,,,,,,,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,,,,"Singapore, Central Region, Singapore",
Logistics First Coast,https://www.crunchbase.com/organization/logistics-first-coast,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,,,,,,,,,,,,,,,,,,,"East Coast, Southern US",,,,,,,,"Jacksonville, Florida, United States",
Producta AI,https://www.crunchbase.com/organization/producta-ai,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), B2B, Developer Tools, Generative AI, Software Engineering",,
Quotemotive,https://www.crunchbase.com/organization/quotemotive,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,1,,,,,,,,,,,,,,,,,,,Internet Services,,,,,,Internet,,
ATZ CRM,https://www.crunchbase.com/organization/atz-crm,,Private,For Profit,1-10,,,,,2024-09-01,month,Active,,,1,,,,,,,,,,,,,,,,,,Asia-Pacific (APAC),Professional Services,,,,,,Recruiting,"Bengaluru, Karnataka, India",
InvoiceDataExtraction.com,https://www.crunchbase.com/organization/invoicedataextraction-com,,Private,For Profit,1-10,,,,,2024-09-01,day,Active,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Professional Services, Software",,,,,,"Accounting, Bookkeeping and Payroll, Software",,
