Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Caresyntax,https://www.crunchbase.com/organization/caresyntax,Growing,Private,For Profit,101-250,Made Acquisitions,Debt Financing,2024-08-15,,2013-01-01,year,Active,,,1,7,Late Stage Venture,100000000,USD,100000000,80000000,USD,80000000,Series C,287500000,USD,287500000,387500000,USD,387500000,"BlackRock, Bioniq, Mitsubishi Corporation, Intel Capital, Plug and Play",26,"Greater Boston Area, East Coast, New England","Artificial Intelligence (AI), Data and Analytics, Design, Health Care, Information Technology, Science and Engineering, Software",$500M to $1B,,,,,"Analytics, Artificial Intelligence (AI), Data Visualization, Health Care, Medical, Software","Boston, Massachusetts, United States",
Redwood Software,https://www.crunchbase.com/organization/redwood-software,Growing,Private,For Profit,251-500,"Made Acquisitions, Was Acquired",Private Equity,2024-09-10,,1993-01-01,year,Active,,,1,2,M&A,,,,,,,Private Equity,315000000,EUR,382542927,315000000,EUR,382542927,"Warburg Pincus, Turn/River Capital",2,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Software,,,,,,"Enterprise Software, Software, Web Development","Houten, Utrecht, The Netherlands",
Jupiter,https://www.crunchbase.com/organization/amica-financial-technologies,,Private,For Profit,501-1000,Made Acquisitions,Venture - Series Unknown,2024-06-21,,2019-08-01,day,Active,,,1,6,,2400000,USD,2400000,2400000,USD,2400000,Venture - Series Unknown,157400000,USD,157400000,169484594,USD,169484594,"Rainmatter Capital, Titan Capital, Matrix Partners India, Whiteboard Capital, Rocket Internet",26,Asia-Pacific (APAC),"Financial Services, Lending and Investments, Professional Services",,,,,,"Banking, Consulting, Finance, Financial Services, FinTech, Wealth Management","Mumbai, Maharashtra, India",2
ZeroAvia,https://www.crunchbase.com/organization/zeroavia-inc,Growing,Private,For Profit,251-500,Made Acquisitions,Series C,2024-09-12,,2017-11-01,month,Active,,,1,17,Late Stage Venture,150000000,USD,150000000,150000000,USD,150000000,Series C,389700000,USD,389700000,409950000,USD,409950000,"NEOM, Innovate UK, Alumni Ventures, Barclays, Elemental Excelerator",37,"San Francisco Bay Area, West Coast, Western US","Manufacturing, Science and Engineering, Sustainability, Transportation",,High,,,,"Aerospace, Air Transportation, CleanTech, Industrial","Hollister, California, United States",
Northern Arc,https://www.crunchbase.com/organization/ifmr-capital,,Private,For Profit,251-500,Made Acquisitions,Debt Financing,2024-06-25,Venture Debt,2008-01-01,year,Active,,Debt,1,19,,6200000000,INR,74301239,3330000000,INR,39932726,Venture - Series Unknown,242747276,USD,242747276,712434389,USD,712434389,"Standard Chartered Bank, Axis Bank, LeapFrog Investments, International Finance Corporation, Sumitomo Mitsui Banking Corporation",17,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,,,,,"Credit, Finance, Financial Services, FinTech","Chennai, Tamil Nadu, India",60
Polymarket,https://www.crunchbase.com/organization/polymarket,Growing,Private,For Profit,11-50,,Series B,2024-05-14,,2020-03-01,month,Active,,,1,3,Early Stage Venture,45000000,USD,45000000,45000000,USD,45000000,Series B,74000000,USD,74000000,74000000,USD,74000000,"General Catalyst, Polychain, Robot Ventures, Balaji Srinivasan, Founders Fund",20,"Greater New York Area, East Coast, Northeastern US","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Other, Payments, Software",,High,,,,"Blockchain, Cryptocurrency, Predictive Analytics","New York, New York, United States",
Gro Intelligence,https://www.crunchbase.com/organization/gro-intelligence,Growing,Private,For Profit,101-250,,Series B,2021-01-08,,2014-01-01,year,Closed,,,1,5,Early Stage Venture,85000000,USD,85000000,85000000,USD,85000000,Series B,114700000,USD,114700000,117609000,USD,117609000,"Intel Capital, DCVC, Notable Capital, One Planet Group, TPG Growth",13,"Greater New York Area, East Coast, Northeastern US","Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Science and Engineering, Software",,,,,,"Agriculture, Artificial Intelligence (AI), Big Data, Data Visualization, Information Technology, SaaS","New York, New York, United States",
Reliance Jio,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd-234,Growing,Private,For Profit,10001+,Made Acquisitions,Debt Financing,2023-10-03,,2007-01-01,year,Active,,,1,16,,166400000000,INR,1999338200,337370000000,INR,4489237314,Corporate Round,20049235082,USD,20049235082,28361990389,USD,28361990389,"Citi, HSBC, Standard Chartered Bank, Scotiabank, HDFC Bank",48,Asia-Pacific (APAC),"Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Software",,High,,,,"Apps, Consumer Electronics, Electronics, Information Services, Information Technology, Internet, Telecommunications","Mumbai, Maharashtra, India",3
Decipial Foundation,https://www.crunchbase.com/organization/decipial-foundation,,Private,Non-profit,1-10,,Pre-Seed,2024-08-05,,2015-03-03,day,Active,,,1,4,Seed,600000,CHF,707044,600000,CHF,707044,Pre-Seed,1157044,USD,1157044,1157044,USD,1157044,,,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Hardware, Information Technology, Internet Services, Software",,,,,,"Data Center, Information Technology, Internet, Software, Web3","Geneva, Geneve, Switzerland",
11x,https://www.crunchbase.com/organization/11x-ai,Growing,Private,For Profit,11-50,,Series A,2024-09-16,,2022-09-01,month,Active,,,1,2,Early Stage Venture,24000000,USD,24000000,24000000,USD,24000000,Series A,26000000,USD,26000000,26000000,USD,26000000,"Quiet Capital, Abstract Ventures, Lux Capital, Activant Capital, Benchmark",18,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Information Technology, Software","London, England, United Kingdom",
Hadrian,https://www.crunchbase.com/organization/hadrian-caa2,,Private,For Profit,101-250,Made Acquisitions,Series B,2024-02-21,,2020-11-01,month,Active,,,1,5,Early Stage Venture,92000000,USD,92000000,92000000,USD,92000000,Series B,191500000,USD,191500000,216500000,USD,216500000,"Andreessen Horowitz, Founders Fund, Lux Capital, Floodgate, Jackson Moses",21,"Greater Los Angeles Area, West Coast, Western US","Manufacturing, Science and Engineering, Transportation",,,,,,"Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States",
LetsGetChecked,https://www.crunchbase.com/organization/letsgetchecked,Growing,Private,For Profit,501-1000,Made Acquisitions,Convertible Note,2024-08-21,,2015-01-01,year,Active,,,1,7,Late Stage Venture,150000000,USD,150000000,20000000,USD,20000000,Series D,283000000,USD,283000000,543000000,USD,543000000,"Qiming Venture Partners, Deerfield, Casdin Capital, Optum Ventures, Elkstone Capital Partners",17,"Greater New York Area, East Coast, Northeastern US","Biotechnology, Health Care, Mobile, Science and Engineering",,,,,,"Biotechnology, Health Care, Health Diagnostics, Hospital, Medical, mHealth, Wellness","New York, New York, United States",
Aavishkaar Venture Capital,https://www.crunchbase.com/organization/aavishkaar-goodwell,Growing,Private,For Profit,11-50,,Venture - Series Unknown,2019-09-26,Venture Capital,2001-01-01,year,Active,,"Early Stage Venture, Late Stage Venture, Secondary Market, Seed, Venture",1,2,,37000000,USD,37000000,37000000,USD,37000000,Venture - Series Unknown,62000000,USD,62000000,62000000,USD,62000000,"FMO, Triodos Bank, Shell Foundation",3,Asia-Pacific (APAC),"Financial Services, Lending and Investments",,Medium,,,,"Finance, Financial Services, Venture Capital","Mumbai, Maharashtra, India",92
Clio,https://www.crunchbase.com/organization/clio,,Private,For Profit,1001-5000,Made Acquisitions,Series F,2024-07-23,,2008-10-01,day,Active,,,1,6,Late Stage Venture,900000000,USD,900000000,900000000,USD,900000000,Series F,1286000000,USD,1286000000,1286000000,USD,1286000000,"Sixth Street, T. Rowe Price, Bessemer Venture Partners, CapitalG, New Enterprise Associates",16,,"Information Technology, Professional Services, Sales and Marketing, Software",,,,,,"CRM, Legal, Legal Tech, Software","Vancouver, British Columbia, Canada",1
AppsForBharat,https://www.crunchbase.com/organization/appsforbharat,Growing,Private,For Profit,101-250,,Series B,2024-09-10,,2020-01-01,year,Active,,,1,5,Early Stage Venture,1510000000,INR,17979987,1510000000,INR,17979987,Series B,32179987,USD,32179987,41679987,USD,41679987,"Sai Global India, Mirae Asset, Elevation Capital, Matrix Partners India, Trell",24,Asia-Pacific (APAC),"Apps, Information Technology, Internet Services, Mobile, Software",,,,,,"Apps, Information Technology, Internet, Mobile Apps, Software","Bangalore, Karnataka, India",
Walgreens,https://www.crunchbase.com/organization/walgreens,Not Growing,Private,For Profit,10001+,Made Acquisitions,Grant,2024-07-23,,1901-01-01,year,Active,,,1,1,,25000000,USD,25000000,,,,,,,,25000000,USD,25000000,Biomedical Advanced Research and Development Authority (BARDA),1,"Greater Chicago Area, Great Lakes, Midwestern US","Commerce and Shopping, Consumer Goods, Health Care",,High,,,,"Consumer Goods, Health Care, Pharmaceutical, Retail","Deerfield, Illinois, United States",6
XFA AI,https://www.crunchbase.com/organization/xfa-ai,,Private,For Profit,1001-5000,,Series C,2024-02-14,,2023-05-30,day,Closed,,,1,3,Late Stage Venture,8400000,USD,8400000,8400000,USD,8400000,Series C,12400000,USD,12400000,12400000,USD,12400000,,,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Professional Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Auto Insurance, Consulting, Information Technology, Software","Leeds, Leeds, United Kingdom",
Baller Mixed Reality,https://www.crunchbase.com/organization/baller-mixed-reality,,Private,For Profit,1-10,Was Acquired,Seed,2022-03-15,,2021-02-15,day,Active,,,1,2,M&A,3000000,USD,3000000,3000000,USD,3000000,Seed,3150000,USD,3150000,3150000,USD,3150000,,,"Greater Miami Area, East Coast, Southern US","Artificial Intelligence (AI), Blockchain and Cryptocurrency, Commerce and Shopping, Data and Analytics, Hardware, Internet Services, Media and Entertainment, Other, Science and Engineering, Software, Sports",,,,,,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Blockchain, Collectibles, Media and Entertainment, Metaverse, Semantic Web, Sports","Miami Beach, Florida, United States",
Nostra AI,https://www.crunchbase.com/organization/nostra-608c,,Private,For Profit,11-50,,Venture - Series Unknown,2024-09-11,,2020-01-01,month,Active,,,1,3,,8900000,USD,8900000,8900000,USD,8900000,Venture - Series Unknown,13105498,USD,13105498,13105498,USD,13105498,"Crosscut Ventures, Good Friends, High Alpha, Signal Peak Ventures, Sugar Capital",6,"San Francisco Bay Area, West Coast, Western US","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Information Technology, Software","San Francisco, California, United States",
OrsoBio,https://www.crunchbase.com/organization/orsobio,Growing,Private,For Profit,11-50,,Series B,2024-09-06,,2021-01-01,year,Active,,,1,3,Early Stage Venture,67000000,USD,67000000,67000000,USD,67000000,Series B,127000000,USD,127000000,129300000,USD,129300000,"Eli Lilly, Enavate Sciences, Samsara BioCapital, Woodline Partners, Longitude Capital",8,"San Francisco Bay Area, Silicon Valley, West Coast","Biotechnology, Health Care, Science and Engineering",,,,,,"Biopharma, Biotechnology, Health Care, Medical, Therapeutics","Palo Alto, California, United States",
Kore.ai,https://www.crunchbase.com/organization/kore-ai,Growing,Private,For Profit,501-1000,,Series D,2024-01-30,,2013-01-01,year,Active,,,1,6,Late Stage Venture,150000000,USD,150000000,150000000,USD,150000000,Series D,203500000,USD,203500000,223500000,USD,223500000,"NVIDIA, FTV Capital, PNC, Dallas Venture Capital, Vistara Growth",10,"East Coast, Southern US","Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Chatbot, Collaboration, Enterprise Software, Generative AI, Machine Learning, Natural Language Processing","Orlando, Florida, United States",
Versana,https://www.crunchbase.com/organization/versana,Growing,Private,For Profit,11-50,,Venture - Series Unknown,2024-09-10,,2021-01-01,year,Active,,,1,2,,26000000,USD,26000000,26000000,USD,26000000,Venture - Series Unknown,66000000,USD,66000000,66000000,USD,66000000,"Citi, Morgan Stanley, Bank of America, JP Morgan Chase, U.S. Bancorp",9,"Greater New York Area, East Coast, Northeastern US","Data and Analytics, Financial Services, Information Technology, Professional Services, Software",,,,,,"Consulting, Data Integration, Finance, Financial Services","New York, New York, United States",
UST,https://www.crunchbase.com/organization/ust,,Private,For Profit,10001+,Made Acquisitions,Private Equity,2018-06-27,"Corporate Venture Capital, Private Equity Firm",1999-01-01,year,Active,,,1,1,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Temasek Holdings,1,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Professional Services",,,,,,"Consulting, Information Services, Information Technology","Aliso Viejo, California, United States",18
Cosm,https://www.crunchbase.com/organization/cosm,,Private,For Profit,51-100,Made Acquisitions,Private Equity,2024-07-31,,2020-01-01,year,Active,,,1,1,Private Equity,250000000,USD,250000000,250000000,USD,250000000,Private Equity,250000000,USD,250000000,250000000,USD,250000000,"Baillie Gifford, Avenue Capital Group, Mirasol Capital, Rock Ventures, Bolt Ventures",5,"Greater Los Angeles Area, West Coast, Western US","Information Technology, Media and Entertainment, Software, Video",,,,,,"Content, Information Technology, Media and Entertainment, Software, Video","Los Angeles, California, United States",1
Campus,https://www.crunchbase.com/organization/campuswire,,Private,For Profit,11-50,,Series A,2024-04-23,,2016-08-01,month,Active,,,1,3,Early Stage Venture,23000000,USD,23000000,23000000,USD,23000000,Series A,55600000,USD,55600000,55600000,USD,55600000,"Betaworks, Reach Capital, Bloomberg Beta, 8VC, Founders Fund",17,"West Coast, Western US","Education, Software",,,,,,"EdTech, Education, Higher Education","Sacramento, California, United States",
Odoo,https://www.crunchbase.com/organization/odoo,Growing,Private,For Profit,1001-5000,,Private Equity,2023-06-26,,2005-01-01,year,Active,,,1,6,Private Equity,150000000,EUR,163646301,150000000,EUR,163646301,Private Equity,512797376,USD,512797376,602797376,USD,602797376,"Sofinnova Partners, Summit Partners, General Atlantic, XAnge, Meusinvest (Noshaq)",6,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Administrative Services, Commerce and Shopping, Software",,,,,,"E-Commerce, Human Resources, Open Source, Software","Grand-rosière, Brabant Wallon, Belgium",
Creatio,https://www.crunchbase.com/organization/creatioglobal,,Private,For Profit,501-1000,,Private Equity,2024-06-26,,2014-01-01,year,Active,,,1,2,Private Equity,200000000,USD,200000000,200000000,USD,200000000,Private Equity,268000000,USD,268000000,268000000,USD,268000000,"StepStone Group, Volition Capital, Sapphire Ventures, Horizon Capital, Horizon Capital",5,"Greater Boston Area, East Coast, New England","Information Technology, Sales and Marketing, Software",,,,,,"CRM, Developer Tools, Information Technology, SaaS","Boston, Massachusetts, United States",
Smartcat,https://www.crunchbase.com/organization/smartcat,,Private,For Profit,101-250,,Series C,2024-09-10,,2016-01-01,year,Active,,,1,5,Late Stage Venture,43000000,USD,43000000,43000000,USD,43000000,Series C,71920767,USD,71920767,71920767,USD,71920767,"FJ Labs, Left Lane Capital, Matrix, AltaIR Capital, Redseed",9,"Greater Boston Area, East Coast, New England","Information Technology, Software",$10M to $50M,,,,,"Information Technology, Software","Cambridge, Massachusetts, United States",
Fireworks AI,https://www.crunchbase.com/organization/fireworks-ai,Growing,Private,For Profit,11-50,,Series B,2024-07-07,,2022-10-01,month,Active,,,1,2,Early Stage Venture,52000000,USD,52000000,52000000,USD,52000000,Series B,77000000,USD,77000000,77000000,USD,77000000,"NVIDIA, MongoDB, Sequoia Capital, AMD, Benchmark",10,"San Francisco Bay Area, Silicon Valley, West Coast","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,High,,,,"Artificial Intelligence (AI), Data Management, SaaS, Software","Redwood City, California, United States",
Aave,https://www.crunchbase.com/organization/ethlend,Growing,Private,For Profit,11-50,,Secondary Market,2023-08-04,Private Equity Firm,2017-05-01,day,Active,,Non Equity Assistance,1,10,,,,,,,,Venture - Series Unknown,49000000,USD,49000000,49000000,USD,49000000,"Google, IBM, Framework Ventures, ParaFi Capital, Blockchain Capital",20,"Europe, Middle East, and Africa (EMEA)","Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Other, Payments, Software",,Medium,,,,"Cryptocurrency, Decentralized Finance (DeFi), Finance, Financial Services, FinTech, Open Source, Peer to Peer, Software, Venture Capital, Web3","London, England, United Kingdom",8
Trafigura,https://www.crunchbase.com/organization/trafigura,Growing,Private,For Profit,10001+,Made Acquisitions,Post-IPO Debt,2024-03-14,,1993-01-01,year,Active,,,1,8,,1900000000,USD,1900000000,,,,,,,,15635000000,USD,15635000000,"Sumitomo Mitsui Banking Corporation, Trade and Development Bank -TDB, Citibank UK, Export-Import Bank of the United States, Saudi EXIM",8,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Energy, Manufacturing, Natural Resources, Transportation",,Medium,,,,"Industrial, Mineral, Oil and Gas, Shipping, Supply Chain Management","Singapore, Central Region, Singapore",19
Forterra,https://www.crunchbase.com/organization/rrai,Not Growing,Private,For Profit,251-500,,Series B,2024-09-10,,2002-01-01,year,Active,,,1,2,Early Stage Venture,75000000,USD,75000000,75000000,USD,75000000,Series B,75000000,USD,75000000,75000000,USD,75000000,"XYZ Venture Capital, Moore Strategic Ventures, Enlightenment Capital, Crescent Cove Advisors, Four More Capital",7,"Washington DC Metro Area, East Coast, Southern US","Government and Military, Information Technology, Transportation",,High,,,,"Automotive, Autonomous Vehicles, Military","Clarksburg, Maryland, United States",
NASA,https://www.crunchbase.com/organization/nasa,,Private,For Profit,10001+,,,,Government Office,1958-07-29,day,Active,,,1,,,,,,,,,,,,,,,,,,"Washington DC Metro Area, Southern US","Government and Military, Hardware, Science and Engineering, Software, Transportation",,,,,,"Aerospace, National Security, Robotics, Space Travel","Washington, District of Columbia, United States",168
Habyt,https://www.crunchbase.com/organization/projects,Growing,Private,For Profit,251-500,Made Acquisitions,Venture - Series Unknown,2024-09-09,,2017-02-01,month,Active,,,1,8,,40000000,EUR,44208763,40000000,EUR,44208763,Venture - Series Unknown,105800000,EUR,116761307,109800000,EUR,121613709,"Exor Ventures, HV Capital, Endeavor Catalyst, Kinnevik, Salica",14,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Real Estate",,Medium,,,,"Property Management, Real Estate, Rental, Rental Property","Berlin, Berlin, Germany",
NEOM,https://www.crunchbase.com/organization/neom-585e,Stable,Private,Non-profit,1001-5000,,Debt Financing,2024-04-28,Government Office,2019-01-01,year,Active,,,1,1,,10000000000,SAR,2667340259,,,,,,,,10000000000,SAR,2667340259,"Al-Rajhi Bank, Alinma Bank, The Saudi Investment Bank, Bank Aljazira, Arab National Bank",6,"Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East","Government and Military, Other, Privacy and Security, Social Impact",,Low,,,,"Government, Law Enforcement, Non Profit","Riyadh, Ar Riyad, Saudi Arabia",6
Atlas,https://www.crunchbase.com/organization/atlas-862e,,Private,For Profit,251-500,,Series B,2022-09-15,,2015-01-01,year,Active,,,1,2,Early Stage Venture,200000000,USD,200000000,200000000,USD,200000000,Series B,220000000,USD,220000000,220000000,USD,220000000,"Sixth Street, Guidepost Growth Equity",2,"Greater Chicago Area, Great Lakes, Midwestern US","Financial Services, Professional Services, Software",,,,,,"Financial Services, Management Consulting, Software","Chicago, Illinois, United States",
Innovate UK,https://www.crunchbase.com/organization/innovate-u-k-,Growing,Private,For Profit,101-250,,,,"Entrepreneurship Program, Venture Capital",1959-07-01,day,Active,,Grant,1,,,,,,,,,,,,,,,,,,"Europe, Middle East, and Africa (EMEA)","Financial Services, Government and Military",,Medium,,,,"Finance, Financial Services, Government","Swindon, Wiltshire, United Kingdom","1,041"
Neptune Medical,https://www.crunchbase.com/organization/neptune-medical,Growing,Private,For Profit,101-250,,Series D,2024-08-15,,2016-01-01,year,Active,,,1,3,Late Stage Venture,97000000,USD,97000000,97000000,USD,97000000,Series D,97000000,USD,97000000,97000000,USD,97000000,"Olympus, Mighty Capital, Sonder Capital, Synergy Partners International, InCube Ventures",5,"San Francisco Bay Area, West Coast, Western US","Hardware, Health Care, Science and Engineering, Software",,,,,,"Health Care, Medical, Medical Device, Robotics","Burlingame, California, United States",
PitchBook,https://www.crunchbase.com/organization/pitchbook-data,Growing,Private,For Profit,1001-5000,Was Acquired,Series B,2016-01-27,,2007-01-01,year,Active,,,1,2,M&A,10000000,USD,10000000,10000000,USD,10000000,Series B,13800000,USD,13800000,13800000,USD,13800000,"Morningstar, Brock Mansfield",2,"Greater Seattle Area, West Coast, Western US","Data and Analytics, Financial Services, Lending and Investments",,,,,,"Analytics, Finance, Venture Capital","Seattle, Washington, United States",
Vestas,https://www.crunchbase.com/organization/vestas,,Private,For Profit,10001+,"Made Acquisitions, Was Acquired",Grant,2024-08-27,,1898-01-01,year,Active,,,1,3,M&A,,,,,,,,,,,487487527,USD,487487527,"Australian Renewable Energy Agency, European Investment Bank, The Energy Technology Development and Demonstration Programme",3,"European Union (EU), Nordic Countries, Scandinavia","Energy, Science and Engineering, Sustainability",,,,,,"Energy, Environmental Engineering, Renewable Energy","Aarhus, Midtjylland, Denmark",3
